keywords
"['#Sunday', '#Read', '#Nurses', '#Learned', '#Worth']"
"['#Rabbi', '#Chaim', '#Kanievsky', '#Scholar', '#Dies']"
"['#Adams', '#New', '#Eric', '#Cheerlead', '#Yorkers']"
"['#Moderna', '#request', '#coronavirus', '#vaccine', '#Asks']"
"['#coronavirus', '#China', '#Reports', '#First', '#Covid']"
"['#Jha', '#Dr.', '#Ashish', '#Comforting', '#Voice']"
"['#Adams', '#mask', '#children', '#said', '#Preschoolers']"
"['#years', '#pandemic', '#says', '#Years', '#Declaring']"
"['#time', '#hour', '#Ukraine', '#Coronavirus', '#Pompeii']"
"['#Zhou', '#Knocked', '#Covid', '#Beijing', '#Vincent']"
"['#Europe', '#experts', '#Rise', '#Omicron', '#Subvariant']"
"['#rates', '#Covid', '#Vaccine', '#Clinics', '#Return']"
"['#President', '#Mr.', '#Biden', '#Emhoff', '#Vice']"
"['#New', '#Coronavirus', '#Pandemic', '#Yorkers', '#hope']"
"['#Biden', '#home', '#residents', '#Poll', '#Finds']"
"['#nation', '#White', '#House', '#Introduce', '#New']"
"['#need', '#know', '#coronavirus', '#Reuters.com', '#now\\xa0\\xa0Reuters.com']"
"['#need', '#know', '#coronavirus', '#AstraZeneca', '#Reuters.com']"
"['#need', '#know', '#coronavirus', '#Reuters', '#now\\xa0\\xa0Reuters']"
"['#need', '#know', '#coronavirus', '#quarantine', '#Reuters.com']"
"['#coronavirus', '#need', '#know', '#Reuters', '#pandemic']"
"['#people', '#England', '#booster', '#jabs', '#Coronavirus']"
"['#need', '#know', '#coronavirus', '#Reuters.com', '#now\\xa0\\xa0Reuters.com']"
"['#need', '#know', '#coronavirus', '#Reuters', '#now\\xa0\\xa0Reuters']"
"['#need', '#know', '#coronavirus', '#Reuters', '#now\\xa0\\xa0Reuters']"
"['#need', '#know', '#coronavirus', '#Reuters.com', '#now\\xa0\\xa0Reuters.com']"
"['#need', '#know', '#coronavirus', '#Kong', '#resources']"
"['#tributes', '#died', '#years', '#people', '#coronavirus']"
"['#Hawaii', '#state', '#State', '#Drop', '#Mask']"
"['#Austria', '#law', '#EU', '#month', '#took']"
"['#Zara', '#Asamoah', '#graduated', '#coronavirus', '#pandemic']"
"['#March', '#China', '#cases', '#day', '#reported']"
"['#Germany', '#record', '#incidence', '#Reuters', '#reported']"
"['#iron', '#ore', '#China', '#Russia', '#Reuters']"
